Setor;Modelo;Tipo;Serie;Patrimonio;Filial;Status;
10287;OP. DE CAIXA;4;;;;;
10289;OP. DE CAIXA;4;;;;;
10291;OP. DE CAIXA;4;;;;;
10292;OP. DE CAIXA ;4;;;;;
10293;OP. DE CAIXA;4;;;;;
10295;OP. DE CAIXA;4;;;;;
10296;OP. DE CAIXA;4;;;;;
10307;OP. DE CAIXA;4;;;;;
10368;OP. DE CAIXA;4;;;;;
10434;OP. DE CAIXA;4;;;;;
10435;OP. DE CAIXA;4;;;;;
10775;OP. DE CAIXA;4;;;;;
30163;OP. DE CAIXA;4;;;;;
30298;OP. DE CAIXA ;4;;;;;
30339;OP. DE CAIXA;4;;;;;
30348;OP. DE CAIXA;4;;;;;
30381;OP. DE CAIXA;4;;;;;
30391;OP. DE CAIXA ;4;;;;;
30413;OP. DE CAIXA;4;;;;;
30425;OP. DE CAIXA;4;;;;;
30436;OP. DE CAIXA;4;;;;;
30451;OP. DE CAIXA;4;;;;;
30725;OP. DE CAIXA;4;;;;;
CALLCENTER;DELL OPTIPLEX 380;PC;G2Q2JM1;10491;4;True;
CALLCENTER;DELL OPTIPLEX 390;PC;S\N;10792;4;True;
CALLCENTER;DELL OPTIPLEX 390;PC;S/N;10780;4;True;
CALLCENTER;DELL OPTIPLEX 390;PC;S/N;20793;4;True;
CALLCENTER;DELL OPTIPLEX 390;PC;S\N;S\N;4;True;
CALLCENTER;DELL OPTIPLEX 790;PC;DTYXRR1;10859;4;True;
CALLCENTER;HP COMPAQ 300B MT;PC;BRG73501NC;10414;4;True;
COMERCIAL;DELL E1913C;MONITOR;BR079N700759131021WM;30735;4;True;
COMERCIAL;DELL OPTIPLEX 390;PC;5KCD2V1;10776;4;True;
CONTABILIDADE;DELL E1913C;MONITOR;BR079N700759139E186M;30733;4;True;
CONTABILIDADE;DELL E1913C;MONITOR;BR-0HDK 1P-07591-35S-05MM;30612;4;True;
CONTABILIDADE;DELL E1913C;MONITOR;BR079N700759139E189M;30734;4;True;
CONTABILIDADE;SAMSUNG 733MW;MONITOR;CM17HXI5901294X;30458;4;True;
CONTABILIDADE;DELL OPTIPLEX 3010;PC;JLP90Y1;10911;4;True;
CONTABILIDADE;DELL OPTIPLEX 3010;PC;3MPB0Y1;10912;4;True ;
CONTABILIDADE;DELL OPTIPLEX 3010;PC;HLPROY1;10907;4;True;
CONTABILIDADE;DELL OPTIPLEX 760;PC;7VHNYK1;10438;4;True;
CPD;BEMATECH MP 4000 TH FI;BALANCA;BE090910100010012273;90229;4;True;
CPD;TOLEDO ITI 2003-352180;BALANCA;8002197KB;180005;4;True;
CPD;TOLEDO PRIX 5 PLUS;BALANCA;10815434;180084;4;False;
CPD;TOLEDO PRIX 5 PLUS;BALANCA;10187291;180046;4;False;
CPD;GERTEC TC 505;BUSCA PRECO;2070311430;;4;False;
CPD;BEMATECH MP 4000 TH FI;ECF;BE090910100010012350;90225;4;True;
CPD;HP LASERJET M1132NF;IMPRESSORA;BRJSF807MC;90146;4;True;
CPD;AOC 936SWA;MONITOR;S380AIA000968;30457;4;True;
CPD;DELL E1913C;MONITOR;BR079N700759131022HM;30732;4;True;
CPD;DELL E1913C;MONITOR;BR079N700759131N0C2M;30741;4;True;
CPD;DELL E1914HC;MONITOR;BROFCFPK0759139UBGMM;30743;4;True ;
CPD;DELL OPTIPLEX 3010;PC;8MPR0Y1;11013;4;True;
CPD;DELL OPTIPLEX 3010;PC;4MPT0Y1;10933;4;True;
CPD;DELL OPTIPLEX 360;PC;8QCNMK1;10539;4;True;
CPD;DELL OPTIPLEX 3010;SERVIDOR;6LPR0Y1;10909;4;True;
CPD;DELL OPTIPLEX 3010;SERVIDOR;GMPR0Y1;10908;4;True;
CPD;DELL OPTIPLEX 3020;SERVIDOR;JQYBG22;10605;4;True;
CPD;DELL OPTIPLEX 3020;SERVIDOR;3X3X862;10715;4;True;
CPD;DELL POWER EDGE R430;SERVIDOR;SWST862;20036;4;True;
CPD;DELL POWER EDGE R430;SERVIDOR;SWSR862;20035;4;True;
CPD;VMWARE VIRTUALMACHINE 1;SERVIDOR;BRC036N0A9;10228;4;True;
CREDITO;HP LASERJET P1606;IMPRESSORA;BRCSF6HT2;;4;True;
CREDITO;DELL E170SC;MONITOR;BR0M49GV0759121N21WL;30748;4;True;
CREDITO;DELL OPTIPLEX 780;PC;COMP851;10329;4;True;
FRENTE DE CAIXA;TOLEDO 2124;BALANCA;10362354;180004;4;True;
FRENTE DE CAIXA;TOLEDO PRIX 4;BALANCA;10136709;180039;4;True;
FRENTE DE CAIXA;HP LASERJET P1606;IMPRESSORA;BRBSD6DCV3;90702;4;True;
FRENTE DE CAIXA;HP LASERJET P1606;IMPRESSORA;BRBSC2W73L;90638;4;True;
FRENTE DE CAIXA;BEMATECH DP20 CHEQUE;IMPRESSORA CHEQUE;3,79903E+14;90675;4;True;
FRENTE DE CAIXA;BEMATECH DP20 CHEQUE;IMPRESSORA CHEQUE;3,7903E+13;90960;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 390;PC;5ZT52V1;10774;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 790;PC;8WYXRR1;10270;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 790;PC;9RYXRR1;10279;4;True;
GERENCIA;DELL E1913C;MONITOR;BR075N7007591J9E1AEM;30736;4;True;
GERENCIA;DELL OPTIPLEX 3010;PC;11305;FNHR6W1;4;True;
HORTIFRUTI;TOLEDO PRIX 5 PLUS;BALANCA;11325601;180147;4;True;
HORTIFRUTI;TOLEDO PRIX 5 PLUS;BALANCA;10843019;180165;4;True;
MANUTENCAO;MONITOR LM-15(M689A);MONITOR;MMT4WNBM08170520;30459;4;True;
MANUTENCAO;DELL OPTIPLEX 755;PC;28PCTJ1;10436;4;True;
PADARIA;TOLEDO PRIX 5 PLUS;BALANCA;11119576;180104;4;True;
PRECIFICACAO;ZEBRA STRIPE S4M00;IMPRESSORA PRECO;03J12200437;90164;4;True;
PRECIFICACAO;ZEBRA STRIPE S4M00;IMPRESSORA PRECO;03J101400114;;4;True;
PRECIFICACAO;LEITOR SYMBOL LS2208 COM FIO;LEITOR;SEM SÉRIE;SEM PATRIMONIO;4;True;
PRECIFICACAO;AOC E1670SW;MONITOR;HPD48IA000198;;4;True;
PRECIFICACAO;AOC E1670SW;MONITOR;HPD48IA004311;;4;True;
PRECIFICACAO;"BEMATECH MT4WNP 14""";MONITOR;MMT4WNBM08170494;SEM PATRIMONIO;4;True;
PRECIFICACAO;DELL OPTIPLEX 755;PC;22GN9G1;10433;4;True;
PRECIFICACAO;HP COMPAQ 300B MT;PC;BRG050G8SY;10919;4;True;
PRECIFICACAO;PC GENERICO;PC;SEM SÉRIE;SEM PATRIMONIO;4;True;
RECEPCAO;BEMATECH MP2100;IMPRESSORA;7,90007E+12;90458;4;True;
RECEPCAO;ZEBRA ZXP SERIE 3;IMPRESSORA CARTAO;Z3J134900303;90285;4;True;
RECEPCAO;AOC E1670SW;MONITOR;HPD48IA005019;30630;4;True;
RECEPCAO;AOC E1670SW;MONITOR;HPD48IA000201;30632;4;True;
RECEPCAO;MONITOR GENERICO;MONITOR;T9T5CV1UB00BT29S;;4;True;
RECEPCAO;DELL OPTIPLEX 790;PC;HTYXRR1;10754;4;True;
RECEPCAO;DELL OPTIPLEX 790;PC;6VYXRR1;10266;4;True;
RECEPCAO;MAQUINA GENERICA 1;PC;S/N;S/N;4;True;
RH;HP LASERJET M127FN;IMPRESSORA;BRBSJ18RYS;90271;4;True;
RH;DELL E1913C;MONITOR;BR079N7007591J9E183M;30742;4;True;
RH;DELL E1913C;MONITOR;BR075N7007591J9E0GEM;30740;4;True;
RH;DELL E1913C;MONITOR;BROHDK1P0759135SORXM;;4;True;
RH;DELL OPTIPLEX 3010;PC;HYND6W1;10935;4;True;
RH;DELL OPTIPLEX 3010;PC;6WYXRR1;10330;4;True;
RH;DELL OPTIPLEX 3010;PC;4MB0Y1;10793;4;True;
RM;DELL E157FPC;MONITOR;BR0FJ0670759183B7TPA;30341;4;True;
RM;DELL OPTIPLEX 3010;PC;7NPT0Y1;10768;4;True;
RM;DELL OPTIPLEX 3010;PC;FLPB0Y1;10934;4;True;
RM;DELL OPTIPLEX 3010;PC;4QR20Y1;;4;True;
RM;DELL OPTIPLEX 755;PC;HC73LBI;;4;True;
RM;HP COMPAQ 300B MT;PC;BRG045G5RS;10327;4;True;
RM FISCAL;MOTOROLA MC 3090;COLETOR;A0191400603EN10163H0522;1450040;4;True;
RM FISCAL;MOTOROLA MC 3090;COLETOR;A0191400603EN10163H0447;1450030;4;True;
RM FISCAL;MOTOROLA MC 3090;COLETOR;A0191400603EN10163H0390;1450028;4;True;
RM FISCAL;MOTOROLA MC 3090;COLETOR;A0191400603EN10163H0422;1450029;4;True;
RM FISCAL;MOTOROLA MC 9090;COLETOR;8,155E+13;1450012;4;True;
RM FISCAL;HP LASERJET P1606;IMPRESSORA;BRCSG2W2B8;90757;4;True;
RM FISCAL;HP LASERJET P1606;IMPRESSORA;BRBSD6DCVB;;4;True;
RM FISCAL;COMPEX CPX-2200;LEITOR;22000062485;;4;True;
RM FISCAL;COMPEX CPX-2200;LEITOR;22000062493;;4;True;
RM FISCAL;SYMBOL STB4278;LEITOR;1,2134E+12;60151;4;True;
RM FISCAL;AOC 936SWA;MONITOR;S380AIA000981;30456;4;True;
RM FISCAL;DELL E1912HC;MONITOR;BR OHDK1P 07591 35S 0RYM;30596;4;True;
RM FISCAL;DELL E1913C;MONITOR;BR079N7007591J9E0GGM;30737;4;True;
RM FISCAL;DELL E1914HC;MONITOR;BROFCFPK0759139UOWVM;30718;4;True;
SALAO;TOLEDO PRIX 5 PLUS;BALANCA;11030000;180093;4;True;
SALAO;TOLEDO PRIX 5 PLUS;BALANCA;11145926;180115;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;1,04E+16;100121;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;2070311359;140024;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;2070311308;140107;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;4,09112E+14;140123;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;2100424574;140022;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;2070311433;140119;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;2070311323;140001;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;???;;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;2070311356;140023;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;2100424576;140105;4;True;
SALAO;GERTEC TC 505;BUSCA PRECO;2070311322;140106;4;True;
SEGURANCA;DELL E1914HC;MONITOR;BROFCFPK07591362;30744;4;True;
SEGURANCA;DELL OPTIPLEX 790;PC;3VYXRR1;10261;4;True;
SOE;TOLEDO PRIX 5;BALANCA;10187289;180010;4;True;
SOE;HP 1320;IMPRESSORA;BRHS67M05F;90377;4;True;
SOE;AOC 936SWA;MONITOR;S38AIA000974;30455;4;True;
SOE;DELL E1913C;MONITOR;BR079N700759131004YM;30739;4;True;
SOE;DELL E1913C;MONITOR;BR079N700759131005GM;30738;4;True;
SOE;DELL OPTIPLEX 3010;PC;65JL6W1;108773;4;True;
SOE;DELL OPTIPLEX 3010;PC;2TFM6W1;10872;4;True;
SOE;HP COMPAQ 300B MT;PC;BRG050G869;10325;4;True;
TESOURARIA;HP LASERJET M127FN;IMPRESSORA;BRGSG2KTQM;90765;4;True;
TESOURARIA;HP LASERJET P1606;IMPRESSORA;11402;90586;4;True;
TESOURARIA;AOC 936SWA;MONITOR;S380AIAI003451;30465;4;True;
TESOURARIA;AOC 936SWA;MONITOR;S380AIA000984;30463;4;True;
TESOURARIA;AOC 936SWA;MONITOR;S380AIA000973;30466;4;True;
TESOURARIA;HP COMPAQ 300B MT;PC;BRG050G864;10311;4;True;
TESOURARIA;HP COMPAQ 300B MT;PC;BRGOS0G868;10315;4;True;
TESOURARIA;HP COMPAQ 300B MT;PC;BRG045GVC;10313;4;True;
TREINAMENTO;DELL OPTIPLEX 3010;PC;9LP90Y1;10936;4;True;
TREINAMENTO;EPSON S31+;PROJETOR;WDSM8103267;;4;True;
;OP. DE CAIXA;4;;;;;
;OP. DE CAIXA ;4;;;;;
;OP. DE CAIXA;4;;;;;
;OP. DE CAIXA;4;;;;;
;OP. DE CAIXA;4;;;;;
