Setor,Modelo,Tipo,Serie,Patrimonio,Filial,Status
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE090910100010012660,90231,4,PRODUÇÃO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011209366,90649,4,PRODUÇÃO
CPD,BEMATECH MP 4000 TH FI,ECF,BE090910100010012350,90225,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011209361,90650,4,BKP
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE090910100010012697,90222,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011212358,90219,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE090910100010012593,90221,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210517,90686,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011209367,90648,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210569,90640,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210597,90658,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210483,90639,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE090910100010012703,90223,4,PRODUÇÃO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210596,90657,4,PRODUÇÃO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210591,90642,4,PRODUÇÃO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210570,90688,4,PRODUÇÃO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210518,90644,4,PRODUÇÃO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091110100011265096,90603,4,PRODUÇÃO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE090910100010012706,90223,4,PRODUÇÃO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE090910100010012732,90230,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210448,90652,4,PRODUCAO
CAIXA,BEMATECH MP 4000 TH FI,ECF,BE091210100011210549,90687,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021870,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108002507,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551202031847,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,SEM SÉRIE,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551307022702,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021917,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108001128,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108002279,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108000480,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021818,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108001203,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201022099,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108001180,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,SEM SÉRIE,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551312028652,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551312032307,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551307017548,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021900,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,5512010220668,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551202031830,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,55120101022020,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,SEM SÉRIE,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108000947,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108002958,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108001521,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108001449,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108002910,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108000510,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,SEM SÉRIE,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,11544,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,SEM SÉRIE,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551105002552,,4,PORUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021863,,4,PROCUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021856,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201022013,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021924,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021942,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551312028812,,4,PROCUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551712036565,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551312032642,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201022037,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021993,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551201021986,,4,PRODUCAO
CAIXA,GAVETA BEMATECH,GAVETA,551108000725,,4,PRODUCAO
TESOURARIA,HP LASERJET P1606,IMPRESSORA,11402,90586,4,PRODUÇÃO
RM FISCAL,HP LASERJET P1606,IMPRESSORA,BRBSD6DCVB,,4,PRODUCAO
RM FISCAL,HP LASERJET P1606,IMPRESSORA,BRCSG2W2B8,90757,4,PRODUÇÃO
CREDITO,HP LASERJET P1606,IMPRESSORA,BRCSF6HT2,,4,PRODUCAO
RH,HP LASERJET M127FN,IMPRESSORA,BRBSJ18RYS,90271,4,PRODUCAO
CALLCENTER,HP LASERJET M1212NF,IMPRESSORA,BRJSF6R0D5,90693,4,PRODUCAO
FRENTE DE CAIXA,HP LASERJET P1606,IMPRESSORA,BRBSC2W73L,90638,4,PRODUÇÃO
FRENTE DE CAIXA,HP LASERJET P1606,IMPRESSORA,BRBSD6DCV3,90702,4,PRODUÇÃO
SOE,HP 1320,IMPRESSORA,BRHS67M05F,90377,4,PRODUCAO
RECEPCAO,BEMATECH MP2100,IMPRESSORA,7900071109341,90458,4,PRODUCAO
TESOURARIA,HP LASERJET M127FN,IMPRESSORA,BRGSG2KTQM,90765,4,PRODUCAO
CPD,HP LASERJET M1132NF,IMPRESSORA,BRJSF807MC,90146,4,PRODUÇÃO
RECEPCAO,ZEBRA ZXP SERIE 3,IMPRESSORA CARTAO,Z3J134900303,90285,4,PRODUÇÃO
FRENTE DE CAIXA,BEMATECH DP20 CHEQUE,IMPRESSORA CHEQUE,379903000003877,90675,4,PRODUÇÃO
FRENTE DE CAIXA,BEMATECH DP20 CHEQUE,IMPRESSORA CHEQUE,37903000003879,90960,4,PRODUÇÃO
PRECIFICACAO,ZEBRA STRIPE S4M00,IMPRESSORA PRECO,03J101400114,,4,PRODUÇAO
PRECIFICACAO,ZEBRA STRIPE S4M00,IMPRESSORA PRECO,03J12200437,90164,4,PRODUÇÃO
CAIXA,SYMBOL LS7708,LEITOR,1320600504155,60100,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,11353005004973,60418,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1135300504956,60417,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1135300504961,60414,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1135300504985,60413,4,PRODUCAO
RM FISCAL,COMPEX CPX-2200,LEITOR,22000062493,,4,PRODUCAO
CAIXA,SYMBOL STB4278,LEITOR,1331700501240,60166,4,PRODUCAO
CAIXA,SYMBOL STB4278,LEITOR,1321000504191,60115,4,PRODUCAO
PRECIFICACAO,LEITOR SYMBOL LS2208 COM FIO,LEITOR,SEM SÉRIE,SEM PATRIMONIO,4,PRODUCAO
CAIXA,SYMBOL STB4278,LEITOR,1331800500660,60330,4,PRODUCAO
CAIXA,SYMBOL STB4278,LEITOR,1213700500368,60425,4,PRODUCAO
CAIXA,SYMBOL STB4278,LEITOR,1303800501174,60440,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,5363520300052,60291,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1322300501496,60095,4,PRODUCAO
BACKUP,SYMBOL STB4278,LEITOR,1031900504442,,4,BACKUP
RM FISCAL,SYMBOL STB4278,LEITOR,1213400509242,60151,4,PRODUCAO
RM FISCAL,COMPEX CPX-2200,LEITOR,22000062485,,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1322500507241,60117,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1319900505100,60118,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,1321200500161,60294,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,11078006000838,60394,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,113800505969,60428,4,PRODUCAO
CAIXA,LEITOR SYMBOL LS4000i COM FIO,LEITOR,11566,,4,PRODUCAO
CAIXA,LEITOR SYMBOL LS4000i COM FIO,LEITOR,11567,,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,534752030048,60297,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,5336520300021,60292,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1319900505111,60094,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1135600513765,60419,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1135300505047,60415,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1128500506498,60412,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1319900505112,60096,4,PRODUCAO
CAIXA,SYMBOL STB4278,LEITOR,1331700500213,60160,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,1320900508765,60384,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1320600504155,60100,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,1321200600161,60327,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,8184000503753,60239,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,5363520300045,60298,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1135300504958,60422,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,11353005044981,60420,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,H52K29510NOM,60201,4,PRODUCAO
CAIXA,SYMBOL LS7708,LEITOR,1135300504972,60421,4,PRODUCAO
CAIXA,LEITOR SYMBOL LS2208 COM FIO,LEITOR,11566,,4,PRODUCAO
CAIXA,LEITOR SYMBOL LS2208 COM FIO,LEITOR,SEM SÉRIE,SEM PATRIMONIO,4,PRODUÇÃ0
CAIXA,SYMBOL LI4278,LEITOR,1331700501246,60154,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,1323800501344,60326,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,1321200500127,60324,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,1034200503843,60035,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,1321000500785,60171,4,PRODUCAO
CAIXA,SYMBOL LI4278,LEITOR,1331700507280,60322,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROY603M07591155142M,30364,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BR-OM49GV-07591-16A-07KL,,,
30451,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BR-OM49GV-07591-272-OKYL,,,
,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BROM49GV07959124R2TKL,30730,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROY603M07591155132M,30462,4,PRODUCAO
CALLCENTER,SAMSUNG S19A300B,MONITOR,Y46NHXFCA12192H,30746,4,PRODUCAO
CALLCENTER,DELL E157FPC,MONITOR,BROFCFPK075913CBGDM,30714,4,PRODUCAO
CPD,DELL E1913C,MONITOR,BR079N700759131022HM,30732,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BR-OM49GV-07591-16A-05OL,,,
30339,OP. DE CAIXA,4,,,,
SOE,DELL E1913C,MONITOR,BR079N700759131004YM,30739,4,PRODUÇÃO
CAIXA,DELL E170SC,MONITOR,BR-OM49GV-07591-28F-0CPL,,,
30436,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BR-OJ227F-07591-98E-2PRC,,,
,OP. DE CAIXA ,4,,,,
CALLCENTER,SAMSUNG S19A300B,MONITOR,Y46NHXFCA10396N,30745,4,PRODUCAO
CALLCENTER,DELL E157FPC,MONITOR,BR0M496GV0759124R2TAL,30747,4,PRODUCAO
CALLCENTER,DELL E157FPC,MONITOR,BR0FJ0677071383U04N4,30171,4,PRODUCAO
CPD,DELL E1914HC,MONITOR,BROFCFPK0759139UBGMM,30743,4,PRODUÇÃO 
CONTABILIDADE,DELL E1913C,MONITOR,BR079N700759139E186M,30733,4,PRODUÇÃO
CONTABILIDADE,DELL E1913C,MONITOR,BR-0HDK 1P-07591-35S-05MM,30612,4,PRODUÇÃO
CPD,AOC 936SWA,MONITOR,S380AIA000968,30457,4,PRODUÇAO
CALLCENTER,DELL E157FPC,MONITOR,BR0FJ0677071383U03VA,10497,4,PRODUCAO
SOE,DELL E1913C,MONITOR,BR079N700759131005GM,30738,4,PRODUÇÃO
CAIXA,DELL E170SC,MONITOR,BROM496GV0759116A07PL,30312,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM496GV0759124R2T3L,30326,4,PRODUCAO
CAIXA,AOC E1670SW,MONITOR,KQVHAXA004954,,,
,OP. DE CAIXA,4,,,,
CAIXA,AOC E1670SW,MONITOR,HPD81A000174,30731,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BR-OM49GV-07591-24R-2T1L,,,
30725,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BR-OM49GV-07591-16A-078L,,,
30298,OP. DE CAIXA ,4,,,,
CAIXA,DELL E170SC,MONITOR,BR-OY603M-07591-155-13PM,,,
30391,OP. DE CAIXA ,4,,,,
CAIXA,DELL E170SC,MONITOR,BR-OJ227F-07591-98E-6JGC,,,
30163,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BR-OY603M-07591-155-13TM,,,
30381,OP. DE CAIXA,4,,,,
RH,DELL E1913C,MONITOR,BR079N7007591J9E183M,30742,4,PRODUCAO
RH,DELL E1913C,MONITOR,BROHDK1P0759135SORXM,,4,PRODUCAO
RH,DELL E1913C,MONITOR,BR075N7007591J9E0GEM,30740,4,PRODUCAO
RM,DELL E157FPC,MONITOR,BR0FJ0670759183B7TPA,30341,4,PRODUÇÃO
ALMOXARIFADO,AOC E1670SW,MONITOR,HPD481A00214,,4,PRODUCAO
PRECIFICACAO,AOC E1670SW,MONITOR,HPD48IA000198,,4,PRODUÇÃO
RECEPCAO,AOC E1670SW,MONITOR,HPD48IA005019,30630,4,PRODUÇAO
CONTABILIDADE,DELL E1913C,MONITOR,BR079N700759139E189M,30734,4,PRODUÇÃO
RM FISCAL,DELL E1912HC,MONITOR,BR OHDK1P 07591 35S 0RYM,30596,4,PRODUCAO
CPD,DELL E1913C,MONITOR,BR079N700759131N0C2M,30741,4,PRODUCAO
CONTABILIDADE,SAMSUNG 733MW,MONITOR,CM17HXI5901294X,30458,4,PRODUÇÃO
PRECIFICACAO,"BEMATECH MT4WNP 14""",MONITOR,MMT4WNBM08170494,SEM PATRIMONIO,4,PRODUCAO
SEGURANCA,DELL E1914HC,MONITOR,BROFCFPK07591362,30744,4,PRODUCAO
TESOURARIA,AOC 936SWA,MONITOR,S380AIA000973,30466,4,PRODUÇÃO
CAIXA,DELL E170SC,MONITOR,BR-OM49GV-07591-164-073L,,,
30348,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BROY603M0759115513YM,30382,4,PRODUCAO
RM FISCAL,DELL E1914HC,MONITOR,BROFCFPK0759139UOWVM,30718,4,PRODUÇÃO
MANUTENCAO,MONITOR LM-15(M689A),MONITOR,MMT4WNBM08170520,30459,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BR-OM49GV-07591-214-21SL,,,
,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BROY603M0759115513RM,30397,4,PRODUCAO
SOE,AOC 936SWA,MONITOR,S38AIA000974,30455,4,PRODUÇÃO
CAIXA,DELL E170SC,MONITOR,BR0Y603M0759115513AM,30282,4,PRODUCAO
COMERCIAL,DELL E1913C,MONITOR,BR079N700759131021WM,30735,4,PRODUÇÃO
CREDITO,DELL E170SC,MONITOR,BR0M49GV0759121N21WL,30748,4,PRODUÇÃO
GERENCIA,DELL E1913C,MONITOR,BR075N7007591J9E1AEM,30736,4,PRODUÇÃO
TESOURARIA,AOC 936SWA,MONITOR,S380AIA000984,30463,4,PRUDUÇÃO
TESOURARIA,AOC 936SWA,MONITOR,S380AIAI003451,30465,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROY603M07591155149M,30401,4,PRODUCAO
CFTV,DELL E1912HC,MONITOR,BROFCFPK075913C25WEM,30744,4,PRODUÇÃO
PRECIFICACAO,AOC E1670SW,MONITOR,HPD48IA004311,,4,PRODUÇÃO
CALLCENTER,DELL E157FPC,MONITOR,BR0G347H0759108B3,30168,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM496GV0759116A07DL,30330,4,PRODUCAO
CALLCENTER,DELL E157FPC,MONITOR,BROFCFPK075913C25E7M,30653,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM49GV07959125N263L,30726,4,PRODUCAO
RECEPCAO,AOC E1670SW,MONITOR,HPD48IA000201,30632,4,PRODUÇÃO
RECEPCAO,MONITOR GENERICO,MONITOR,T9T5CV1UB00BT29S,,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BR0Y603M0759115512TM,30281,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM49GV095924R2TCL,30724,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROY603M0759115513KM,30377,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BR-OM49GV-07591-272-OKNL,,,
,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BR-OY603M-07591-155-143M,,,
30413,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BROY603M0759115513NM,30361,4,PRODUCAO
RM FISCAL,DELL E1913C,MONITOR,BR079N7007591J9E0GGM,30737,4,PRODUÇÃO
RM FISCAL,AOC 936SWA,MONITOR,S380AIA000981,30456,4,PRODUÇÃO
CAIXA,DELL E170SC,MONITOR,BROM496GV0759116A030L,30316,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROY603M0759115513DM,30362,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM496GV0759116A07SL,30354,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROY603M07591155141M,30359,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM49GV0759124R2T2L,30727,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM49GV07959124R2TDL,30728,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM49GV07959125N261L,30729,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROY603M07591155148M,30368,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM496GV0759116A075L,30325,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM49GV07959116A05AL,30357,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM496GV0759116A07JL,30320,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BR-OY603M-07591-155-13JM,,,
30425,OP. DE CAIXA,4,,,,
CAIXA,DELL E170SC,MONITOR,BROM496GV0759124R2TEL,30358,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM496GV0759125N26VL,30447,4,PRODUCAO
CAIXA,DELL E170SC,MONITOR,BROM496GV0759116A076L,30309,4,PRODUCAO
RH,DELL OPTIPLEX 3010,PC,4MB0Y1,10793,4,PRDUCAO
GERENCIA,DELL OPTIPLEX 3010,PC,11305,FNHR6W1,4,PRODUÇAO
CAIXA,DELL OPTIPLEX 780,PC,1X8LWQ1,,,
10287,OP. DE CAIXA,4,,,,
CAIXA,DELL OPTIPLEX 780,PC,5X8LWQ1,,,
10293,OP. DE CAIXA,4,,,,
CAIXA,DELL OPTIPLEX 780,PC,729LWQ1,10301,4,PRODUÇÃO
CAIXA,DELL OPTIPLEX 780,PC,9Y8LWQ1,,,
10296,OP. DE CAIXA,4,,,,
CAIXA,DELL OPTIPLEX 780,PC,CN0LWQ1,,,
10291,OP. DE CAIXA,4,,,,
RH,DELL OPTIPLEX 3010,PC,HYND6W1,10935,4,PRODUCAO
